symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
DSGX,The Descartes Systems Group Inc.,Mid-Cap,116.54,9.97B,631.76M,137.74M,85.54M,1.58,72.41,50.46,n/a,n/a,"170,798",,116.85,116.78,115.95 - 117.35,84.12 - 124.31,0.75,Buy,117.00 (+0.39%),"Mar 5, 2025",Software - Application,Technology,"Jan 26, 1999",NASDAQ
VFC,V.F. Corporation,Mid-Cap,25.59,9.97B,10.15B,-457.24M,389.57M,-1.18,n/a,25.57,$0.36 (1.41%),"Mar 10, 2025","4,161,322",,25.55,25.54,25.06 - 25.72,11.00 - 29.02,1.48,Buy,23.58 (-7.85%),"Jan 29, 2025",Apparel Manufacturing,Consumer Discretionary,1899,NYSE
LCID,"Lucid Group, Inc.",Mid-Cap,3.310,9.97B,730.51M,-3.08B,3.01B,-1.34,n/a,n/a,n/a,n/a,"78,927,443",,3.300,3.260,3.270 - 3.420,1.930 - 4.430,0.94,Hold,3.18 (-3.93%),"Feb 25, 2025",Auto Manufacturers,Consumer Discretionary,2007,NASDAQ
DOX,Amdocs Limited,Mid-Cap,88.30,9.96B,4.87B,496.37M,112.82M,4.31,20.49,12.22,$2.11 (2.39%),"Mar 31, 2025","649,610",,87.30,87.23,87.27 - 88.31,74.41 - 94.04,0.73,Strong Buy,101.20 (+14.61%),"Feb 4, 2025",Software - Infrastructure,Technology,"Jun 19, 1998",NASDAQ
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Mid-Cap,196.18,9.93B,1.29B,447.39M,505.28M,0.89,22.20,17.81,$7.23 (3.69%),"Nov 25, 2024","121,563",,198.43,199.08,195.26 - 200.70,139.64 - 204.37,0.99,Buy,207.50 (+5.77%),"Feb 24, 2025",Airports & Air Services,Industrials,"Feb 24, 2006",NYSE
MRNO,Murano Global Investments Plc,Mid-Cap,11.01,9.91B,27.95M,-103.95M,900.05M,-0.12,n/a,n/a,n/a,n/a,"2,525",,11.00,10.93,10.70 - 11.20,3.60 - 38.00,0.30,n/a,n/a,"Feb 25, 2025",Real Estate - Development,Real Estate,2021,NASDAQ
LTM,LATAM Airlines Group S.A.,Mid-Cap,32.64,9.86B,12.83B,976.97M,604.44B,0.00,10.09,8.41,$0.46 (1.41%),"May 9, 2024","221,024",,32.78,32.66,32.46 - 32.88,21.83 - 32.88,n/a,Strong Buy,38.00 (+16.42%),n/a,Airlines,Industrials,1929,NYSE
WMS,"Advanced Drainage Systems, Inc.",Mid-Cap,126.93,9.85B,2.94B,467.84M,77.57M,5.98,21.24,20.41,$0.64 (0.50%),"Feb 28, 2025","493,955",,126.93,126.08,125.08 - 127.73,110.75 - 184.27,1.52,Strong Buy,164.25 (+29.4%),"Feb 6, 2025",Building Products & Equipment,Industrials,"Jul 25, 2014",NYSE
BG,Bunge Global SA,Mid-Cap,70.50,9.84B,53.11B,1.14B,139.63M,7.99,8.82,8.98,$2.72 (3.86%),"Feb 18, 2025","1,272,785",,70.07,69.79,69.71 - 70.96,67.40 - 114.92,0.68,Buy,97.20 (+37.87%),"Feb 5, 2025",Farm Products,Consumer Staples,1818,NYSE
BRBR,"BellRing Brands, Inc.",Mid-Cap,76.68,9.84B,2.10B,279.50M,128.28M,2.12,36.16,33.38,n/a,n/a,"948,035",,77.28,77.55,76.48 - 78.14,48.06 - 80.67,0.92,Buy,77.76 (+1.41%),"Feb 3, 2025",Packaged Foods,Consumer Staples,"Oct 17, 2019",NYSE
