symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,shares_out,eps_ttm,pe_ratio,forward_pe,dividend,ex_dividend_date,volume,average_volume,open,previous_close,days_range,fifty_two_week_range,beta,analysts,price_target,earnings_date,industry,sector,ipo_date,stock_exchange
SKWD,"Skyward Specialty Insurance Group, Inc.",Small-Cap,49.86,2.00B,1.09B,133.50M,40.10M,3.27,15.25,15.75,n/a,n/a,"317,839",,50.80,50.82,48.89 - 51.11,32.08 - 55.62,0.82,Buy,53.00 (+6.3%),"Feb 25, 2025",Insurance - Property & Casualty,Financials,"Jan 13, 2023",NASDAQ
BKV,BKV Corporation,Small-Cap,23.66,2.00B,624.58M,-47.87M,84.39M,-0.72,n/a,63.88,n/a,n/a,"149,630",,24.11,24.00,23.59 - 24.16,17.39 - 26.78,n/a,Strong Buy,28.38 (+19.95%),"Feb 26, 2025",Oil & Gas Exploration & Production,Energy,"Sep 26, 2024",NYSE
ULCC,"Frontier Group Holdings, Inc.",Small-Cap,8.85,1.99B,3.78B,85.00M,225.37M,0.37,23.92,9.90,n/a,n/a,"3,982,718",,8.59,8.52,8.36 - 8.88,2.79 - 10.26,2.35,Hold,7.41 (-16.27%),"Feb 7, 2025",Airlines,Industrials,"Apr 1, 2021",NASDAQ
TVTX,"Travere Therapeutics, Inc.",Small-Cap,22.91,1.99B,203.45M,-351.45M,87.03M,-4.55,n/a,n/a,n/a,n/a,"1,247,622",,24.00,23.72,22.82 - 24.14,5.12 - 25.29,0.73,Strong Buy,30.08 (+31.3%),"Feb 25, 2025",Biotechnology,Healthcare,2008,NASDAQ
VSEC,VSE Corporation,Small-Cap,97.28,1.99B,1.02B,13.87M,20.41M,0.82,48.48,26.74,$0.40 (0.41%),"Jan 23, 2025","267,320",,93.10,93.09,91.55 - 97.87,67.82 - 123.92,1.60,Strong Buy,117.83 (+21.13%),"Feb 26, 2025",Aerospace & Defense,Industrials,1959,NASDAQ
ACLS,"Axcelis Technologies, Inc.",Small-Cap,61.06,1.98B,1.02B,200.99M,32.51M,6.15,9.93,26.78,n/a,n/a,"554,212",,61.98,61.98,59.78 - 61.98,56.32 - 158.61,1.52,Buy,156.00 (+155.49%),"Feb 10, 2025",Semiconductor Equipment & Materials,Technology,"Jul 11, 2000",NASDAQ
BTE,Baytex Energy Corp.,Small-Cap,2.450,1.98B,2.48B,-259.64M,805.00M,-0.32,n/a,30.99,$0.07 (2.67%),"Dec 13, 2024","30,105,534",,2.500,2.470,2.430 - 2.520,2.190 - 4.080,2.53,Hold,5.50 (+124.49%),"Feb 26, 2025",Oil & Gas Exploration & Production,Energy,1993,NYSE
RUN,Sunrun Inc.,Small-Cap,8.82,1.98B,2.04B,-382.63M,224.34M,-1.73,n/a,n/a,n/a,n/a,"7,483,636",,8.65,8.58,8.58 - 9.00,7.87 - 22.26,2.59,Buy,18.86 (+113.83%),"Feb 27, 2025",Solar,Technology,"Aug 5, 2015",NASDAQ
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Small-Cap,39.76,1.98B,972.77M,123.69M,875.68M,0.14,15.99,n/a,n/a,n/a,"88,409",,39.78,39.85,38.72 - 39.94,13.78 - 51.69,0.99,n/a,n/a,"Feb 25, 2025",Utilities - Regulated Electric,Utilities,"Apr 26, 2007",NYSE
MBIN,Merchants Bancorp,Small-Cap,43.19,1.98B,646.45M,283.65M,45.77M,6.30,6.86,7.80,$0.36 (0.83%),"Dec 13, 2024","84,913",,42.70,42.67,42.60 - 43.23,34.16 - 53.27,1.16,Buy,54.50 (+26.19%),"Jan 28, 2025",Banks - Regional,Financials,"Oct 27, 2017",NASDAQ
UFPT,"UFP Technologies, Inc.",Small-Cap,257.52,1.98B,461.85M,54.21M,7.67M,6.99,36.83,31.14,n/a,n/a,"64,954",,252.38,254.04,250.31 - 258.65,186.21 - 366.41,1.04,Strong Buy,323.50 (+25.62%),"Feb 24, 2025",Medical Devices,Healthcare,"Dec 16, 1993",NASDAQ
EVCM,EverCommerce Inc.,Small-Cap,10.75,1.97B,693.21M,-52.19M,183.48M,-0.28,n/a,18.96,n/a,n/a,"63,803",,10.90,10.90,10.72 - 10.93,6.22 - 12.35,1.13,Buy,12.56 (+16.84%),"Mar 13, 2025",Software - Infrastructure,Technology,"Jul 1, 2021",NASDAQ
BTU,Peabody Energy Corporation,Small-Cap,16.21,1.97B,4.24B,370.90M,121.50M,2.61,6.14,12.19,$0.30 (1.85%),"Feb 19, 2025","3,364,145",,17.31,17.10,16.20 - 17.34,15.79 - 29.94,0.95,Strong Buy,27.60 (+70.27%),"Feb 6, 2025",Thermal Coal,Energy,2016,NYSE
PAX,Patria Investments Limited,Small-Cap,12.69,1.96B,374.20M,73.40M,154.83M,0.48,26.55,8.81,$0.60 (4.73%),"Feb 28, 2025","608,567",,12.73,12.72,12.60 - 12.81,10.63 - 16.13,0.59,Strong Buy,14.00 (+10.32%),"Feb 12, 2025",Asset Management,Financials,"Jan 22, 2021",NASDAQ
GTX,Garrett Motion Inc.,Small-Cap,9.20,1.96B,3.58B,234.00M,213.56M,1.01,9.08,7.54,$0.06 (0.65%),"Jan 15, 2025","554,453",,9.20,9.10,9.18 - 9.31,7.13 - 10.16,1.15,Strong Buy,12.00 (+30.44%),"Feb 20, 2025",Auto Parts,Consumer Discretionary,2018,NASDAQ
TGI,"Triumph Group, Inc.",Small-Cap,25.31,1.96B,1.24B,560.13M,77.41M,7.25,148.47,27.48,n/a,n/a,"893,653",,25.30,25.33,25.27 - 25.34,11.01 - 25.41,2.51,Hold,18.78 (-25.8%),"Feb 6, 2025",Aerospace & Defense,Industrials,"Oct 25, 1996",NYSE
ROOT,"Root, Inc.",Small-Cap,129.34,1.95B,1.04B,-15.70M,15.10M,-1.07,n/a,n/a,n/a,n/a,"541,111",,138.71,138.38,125.39 - 140.46,8.60 - 141.23,2.59,Buy,58.38 (-54.86%),"Feb 26, 2025",Insurance - Property & Casualty,Financials,"Oct 28, 2020",NASDAQ
CNMD,CONMED Corporation,Small-Cap,63.15,1.95B,1.31B,132.42M,30.89M,4.25,14.86,14.56,$0.80 (1.27%),"Dec 20, 2024","467,875",,64.89,64.37,62.46 - 65.50,61.05 - 86.96,1.47,Buy,77.20 (+22.25%),"Feb 5, 2025",Medical Devices,Healthcare,"Jul 23, 1987",NYSE
GLP,Global Partners LP,Small-Cap,57.23,1.94B,17.39B,113.12M,33.96M,3.31,17.31,25.44,$2.90 (5.07%),"Feb 10, 2025","49,890",,57.26,57.13,57.06 - 58.10,37.00 - 59.03,1.46,Strong Buy,54.00 (-5.64%),"Feb 28, 2025",Oil & Gas Midstream,Energy,"Sep 29, 2005",NYSE
CENX,Century Aluminum Company,Small-Cap,20.94,1.94B,2.10B,306.10M,92.80M,3.19,6.57,10.47,n/a,n/a,"1,322,093",,21.57,21.39,20.80 - 22.11,9.65 - 25.39,2.50,Buy,21.00 (+0.29%),"Feb 24, 2025",Aluminum,Materials,"Mar 28, 1996",NASDAQ
GDRX,"GoodRx Holdings, Inc.",Small-Cap,5.04,1.94B,790.39M,-16.22M,384.80M,-0.05,n/a,29.30,n/a,n/a,"585,306",,5.09,5.03,4.99 - 5.16,4.09 - 9.26,1.29,Buy,8.75 (+73.61%),"Feb 27, 2025",Health Information Services,Healthcare,"Sep 23, 2020",NASDAQ
PSEC,Prospect Capital Corporation,Small-Cap,4.370,1.93B,796.25M,-91.22M,442.74M,-0.21,n/a,7.95,$0.63 (14.42%),"Apr 28, 2025","1,366,493",,4.360,4.360,4.330 - 4.375,4.090 - 5.860,0.98,Sell,4.50 (+2.98%),"Feb 10, 2025",Asset Management,Financials,"Jul 27, 2004",NASDAQ
OPRA,Opera Limited,Small-Cap,21.86,1.93B,447.82M,159.53M,88.48M,1.78,12.31,10.47,$1.56 (7.14%),"Jan 6, 2025","454,127",,21.99,21.85,21.22 - 22.00,10.11 - 22.00,0.99,Strong Buy,24.80 (+13.45%),"Feb 27, 2025",Internet Content & Information,Communication Services,"Jul 27, 2018",NASDAQ
