symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,eps_ttm,pe_ratio,forward_pe,volume,open,previous_close,beta,industry,sector,days_range_min,days_range_max,fifty_two_week_range_min,fifty_two_week_range_max
SAP,SAP SE,Mega-Cap,290.69,341460000000.0,35380000000.0,3230000000.0,2.74,105.58,44.35,783839.0,291.88,293.69,0.89,Software - Application,Technology,289.92,292.03,174.88,293.7
ABBV,AbbVie Inc.,Mega-Cap,192.87,340480000000.0,56330000000.0,4240000000.0,2.39,80.7,15.73,3973852.0,193.95,193.45,0.56,Drug Manufacturers - General,Healthcare,192.78,195.18,153.58,207.32
CRM,"Salesforce, Inc.",Mega-Cap,326.54,312500000000.0,37190000000.0,5940000000.0,6.07,53.78,30.28,5873816.0,328.03,329.85,1.31,Software - Application,Technology,322.62,328.5,212.0,369.0
TMUS,"T-Mobile US, Inc.",Mega-Cap,270.82,309200000000.0,81400000000.0,11340000000.0,9.66,28.03,25.41,4823396.0,266.69,265.08,0.55,Telecom Services,Communication Services,264.4,271.41,158.84,271.41
ASML,ASML Holding N.V.,Mega-Cap,751.55,300360000000.0,29260000000.0,7840000000.0,19.92,38.32,30.75,2042952.0,777.89,776.99,1.08,Semiconductor Equipment & Materials,Technology,748.7,778.33,645.45,1110.09
KO,The Coca-Cola Company,Mega-Cap,68.87,296280000000.0,47060000000.0,10630000000.0,2.46,28.0,23.25,20765499.0,69.37,69.5,0.62,Beverages - Non-Alcoholic,Consumer Staples,68.76,70.03,57.93,73.53
BABA,Alibaba Group Holding Limited,Mega-Cap,124.73,281920000000.0,137139999999.99998,12240000000.0,4.94,25.27,13.72,52086273.0,126.59,119.54,0.31,Internet Retail,Consumer Discretionary,120.5,126.8,68.36,126.8
CVX,Chevron Corporation,Mega-Cap,155.34,279160000000.0,198200000000.0,17660000000.0,9.72,15.98,14.89,4364138.0,155.08,155.88,1.1,Oil & Gas Integrated,Energy,154.88,157.45,135.37,167.11
PLTR,Palantir Technologies Inc.,Mega-Cap,119.16,271450000000.0,2870000000.0,462190000.0,0.19,587.31,215.66,64951375.0,117.87,117.91,2.81,Software - Infrastructure,Technology,116.81,120.67,20.33,120.67
WFC,Wells Fargo & Company,Mega-Cap,79.98,263050000000.0,77960000000.0,18610000000.0,5.37,14.89,13.59,17515959.0,79.23,78.85,1.18,Banks - Diversified,Financials,78.9,80.34,50.15,81.5
CSCO,"Cisco Systems, Inc.",Mega-Cap,64.87,258360000000.0,54180000000.0,9190000000.0,2.28,28.5,17.01,23678733.0,63.81,63.84,0.83,Communication Equipment,Technology,63.44,65.07,44.5,66.5
ACN,Accenture plc,Mega-Cap,388.0,242690000000.0,66360000000.0,7570000000.0,11.93,32.53,29.99,2022688.0,390.0,389.53,1.23,Information Technology Services,Technology,387.43,391.0,278.69,398.35
IBM,International Business Machines Corporation,Mega-Cap,261.28,241590000000.0,62750000000.0,6020000000.0,6.43,40.7,24.37,3921620.0,259.0,259.19,0.75,Information Technology Services,Technology,258.0,261.94,162.62,265.72
TM,Toyota Motor Corporation,Mega-Cap,184.24,238570000000.0,297330000000.0,32430000000.0,2.43,7.36,,231439.0,185.0,184.01,0.34,Auto Manufacturers,Consumer Discretionary,183.46,185.74,159.04,255.23
PM,Philip Morris International Inc.,Mega-Cap,150.46,233940000000.0,37880000000.0,7030000000.0,4.52,33.29,21.11,3852961.0,148.76,149.18,0.57,Tobacco,Consumer Staples,148.15,151.22,87.82,151.22
AZN,AstraZeneca PLC,Mega-Cap,73.58,228920000000.0,54070000000.0,7040000000.0,4.5,32.54,16.5,5192073.0,74.34,74.45,0.2,Drug Manufacturers - General,Healthcare,73.45,74.58,62.75,87.68
ABT,Abbott Laboratories,Mega-Cap,130.61,226540000000.0,41950000000.0,13400000000.0,7.64,17.1,25.34,3719680.0,132.33,131.79,0.74,Medical Devices,Healthcare,130.53,132.65,99.71,132.65
GE,General Electric Company,Mega-Cap,208.27,223530000000.0,38700000000.0,6560000000.0,5.99,34.29,38.42,4266885.0,208.66,208.36,1.22,Aerospace & Defense,Industrials,204.97,209.16,117.85,211.42
MS,Morgan Stanley,Mega-Cap,138.95,223290000000.0,61500000000.0,12800000000.0,7.95,17.48,16.16,5042680.0,136.45,136.84,1.36,Capital Markets,Financials,136.45,139.58,84.43,142.03
MCD,McDonald's Corporation,Mega-Cap,308.55,221110000000.0,25920000000.0,8220000000.000001,11.39,27.09,25.02,1735802.0,310.2,310.02,0.74,Restaurants,Consumer Discretionary,307.78,311.0,243.53,317.9
AXP,American Express Company,Mega-Cap,311.04,218520000000.0,60760000000.0,10000000000.0,14.01,22.2,20.33,1358328.0,307.43,307.5,1.24,Credit Services,Financials,307.42,311.85,209.1,326.27
LIN,Linde plc,Mega-Cap,457.0,217600000000.0,33009999999.999996,6570000000.0,13.62,33.55,27.66,1693709.0,461.05,461.05,0.95,Specialty Chemicals,Materials,456.7,464.1,410.69,487.49
GS,"The Goldman Sachs Group, Inc.",Mega-Cap,660.55,216230000000.0,52160000000.0,13530000000.0,40.54,16.29,14.23,1995887.0,650.32,648.95,1.39,Capital Markets,Financials,650.32,663.19,380.85,663.87
ISRG,"Intuitive Surgical, Inc.",Mega-Cap,595.55,212410000000.0,8350000000.0,2320000000.0,6.42,92.76,73.92,1172775.0,593.26,591.39,1.39,Medical Instruments & Supplies,Healthcare,588.52,599.26,364.17,616.0
MRK,"Merck & Co., Inc.",Mega-Cap,83.01,209990000000.0,64170000000.0,17120000000.000002,6.74,12.32,9.23,21457625.0,84.42,84.42,0.4,Drug Manufacturers - General,Healthcare,82.09,84.76,82.09,134.63
DIS,The Walt Disney Company,Large-Cap,110.38,199540000000.0,92500000000.0,5620000000.0,3.07,35.9,20.38,5948323.0,109.86,109.59,1.43,Entertainment,Communication Services,109.59,110.5,83.91,123.74
PEP,"PepsiCo, Inc.",Large-Cap,143.39,196730000000.0,91850000000.0,9580000000.0,6.95,20.63,17.29,4974351.0,144.32,144.58,0.55,Beverages - Non-Alcoholic,Consumer Staples,143.36,146.16,141.51,183.41
HSBC,HSBC Holdings plc,Large-Cap,55.09,195350000000.0,57970000000.0,22570000000.0,1.2,8.66,8.57,1123371.0,55.02,55.19,0.5,Banks - Diversified,Financials,54.91,55.28,36.93,55.36
QCOM,QUALCOMM Incorporated,Large-Cap,172.23,190380000000.0,40700000000.0,10560000000.0,9.33,18.59,14.73,4681407.0,172.6,172.15,1.26,Semiconductors,Technology,171.05,172.82,148.9,230.63
T,AT&T Inc.,Large-Cap,25.87,185700000000.0,122340000000.0,10750000000.0,1.49,17.36,12.15,31438834.0,25.67,25.63,0.73,Telecom Services,Communication Services,25.6,25.93,15.94,25.93
AMD,"Advanced Micro Devices, Inc.",Large-Cap,113.1,183280000000.0,25790000000.0,1640000000.0,1.0,113.1,23.91,32130107.0,112.5,111.81,1.65,Semiconductors,Technology,111.7,114.63,106.5,227.3
APP,AppLovin Corporation,Large-Cap,510.13,173470000000.0,4710000000.0,1580000000.0,4.53,112.5,80.09,11242826.0,473.63,471.67,2.3,Software - Application,Technology,462.8,516.99,54.5,525.15
VZ,Verizon Communications Inc.,Large-Cap,40.99,172560000000.0,134789999999.99998,17510000000.0,4.14,9.9,8.77,10131323.0,41.14,41.04,0.44,Telecom Services,Communication Services,40.94,41.29,37.59,45.36
PDD,PDD Holdings Inc.,Large-Cap,124.16,172430000000.0,53050000000.0,15430000000.0,10.49,11.83,10.91,11768903.0,125.23,121.54,0.66,Internet Retail,Consumer Discretionary,122.4,126.75,88.01,164.69
CAT,Caterpillar Inc.,Large-Cap,353.32,168860000000.0,64810000000.0,10790000000.0,22.05,16.02,17.22,1625151.0,356.6,353.7,1.11,Farm & Heavy Construction Machinery,Industrials,352.8,358.88,307.05,418.5
RY,Royal Bank of Canada,Large-Cap,119.04,168450000000.0,38830000000.0,11420000000.0,8.07,14.76,13.07,1492665.0,119.79,119.31,0.83,Banks - Diversified,Financials,118.93,120.09,95.84,128.05
ARM,Arm Holdings plc,Large-Cap,159.54,168160000000.0,3690000000.0,806000000.0,0.76,210.59,81.98,6056066.0,160.17,164.83,,Semiconductors,Technology,156.12,161.34,85.61,188.75
BKNG,Booking Holdings Inc.,Large-Cap,5044.4,166950000000.0,23050000000.0,5040000000.0,145.91,34.57,25.03,198753.0,5085.44,5008.7,1.39,Travel Services,Consumer Discretionary,4975.54,5085.44,3180.0,5337.24
TXN,Texas Instruments Incorporated,Large-Cap,183.03,166620000000.0,15640000000.0,4780000000.0,5.2,35.2,32.49,4087007.0,181.65,180.8,0.96,Semiconductors,Technology,181.06,184.72,159.11,220.39
SHOP,Shopify Inc.,Large-Cap,128.35,166190000000.0,8880000000.0,2020000000.0,1.55,82.81,85.26,8177467.0,125.76,127.65,2.47,Software - Application,Technology,123.88,128.57,48.56,128.57
SPGI,S&P Global Inc.,Large-Cap,539.69,166120000000.0,14210000000.0,3850000000.0,12.35,43.7,31.42,973324.0,544.23,542.32,1.2,Financial Data & Stock Exchanges,Financials,538.92,545.39,407.69,545.39
UBER,"Uber Technologies, Inc.",Large-Cap,79.42,165910000000.0,43980000000.0,9860000000.0,4.56,17.42,32.7,12796153.0,80.35,80.29,1.39,Software - Application,Technology,78.87,80.35,54.84,87.0
INTU,Intuit Inc.,Large-Cap,587.38,164420000000.0,16590000000.0,2920000000.0,10.28,57.14,29.77,1346542.0,584.69,583.9,1.24,Software - Application,Technology,580.84,591.39,557.29,714.78
RTX,RTX Corporation,Large-Cap,122.41,163070000000.0,80740000000.0,4770000000.0,3.55,34.48,19.96,7713919.0,125.45,125.84,0.55,Aerospace & Defense,Industrials,121.38,125.45,88.9,132.43
C,Citigroup Inc.,Large-Cap,84.61,158820000000.0,71360000000.0,11460000000.0,5.94,14.23,11.25,12682260.0,82.41,82.1,1.43,Banks - Diversified,Financials,82.23,84.67,53.51,84.67
AMGN,Amgen Inc.,Large-Cap,291.16,156410000000.0,33420000000.0,4090000000.0,7.56,38.51,14.1,2161239.0,294.75,296.97,0.56,Drug Manufacturers - General,Healthcare,290.46,295.16,253.3,346.85
BSX,Boston Scientific Corporation,Large-Cap,106.11,156390000000.0,16750000000.0,1850000000.0,1.25,84.89,37.18,2970587.0,106.1,106.14,0.81,Medical Devices,Healthcare,105.79,106.72,65.33,107.17
PGR,The Progressive Corporation,Large-Cap,262.6,153830000000.0,75340000000.0,8460000000.000001,14.4,18.24,18.36,2852098.0,261.29,262.13,0.42,Insurance - Property & Casualty,Financials,260.52,264.35,186.94,270.62
SONY,Sony Group Corporation,Large-Cap,24.14,153510000000.0,87820000000.0,7210000000.0,1.18,21.3,,5032226.0,24.11,23.19,0.81,Consumer Electronics,Technology,23.94,24.25,15.02,24.25
HDB,HDFC Bank Limited,Large-Cap,60.23,151660000000.0,31580000000.0,8130000000.000001,1.06,18.65,18.12,2208645.0,60.23,60.17,0.84,Banks - Regional,Financials,60.03,60.49,53.0,68.5
BLK,"BlackRock, Inc.",Large-Cap,973.92,150840000000.0,20410000000.0,6370000000.0,42.01,23.18,20.53,964065.0,975.0,980.3,1.3,Asset Management,Financials,968.38,978.65,745.55,1084.22
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Large-Cap,12.81,150830000000.0,39430000000.0,11320000000.0,0.96,13.33,,2101186.0,12.71,12.59,0.51,Banks - Diversified,Financials,12.69,12.86,8.75,12.96
UNP,Union Pacific Corporation,Large-Cap,249.22,150600000000.0,24250000000.0,6750000000.0,11.09,22.47,20.77,1696285.0,251.49,250.97,1.06,Railroads,Industrials,249.1,253.2,218.55,258.66
DHR,Danaher Corporation,Large-Cap,206.3,148350000000.0,23880000000.0,3900000000.0,5.29,39.0,26.9,4265379.0,204.1,203.59,0.86,Diagnostics & Research,Healthcare,204.1,207.15,196.8,281.7
SCHW,The Charles Schwab Corporation,Large-Cap,80.34,147190000000.0,19610000000.0,5480000000.0,2.99,26.87,19.19,9582784.0,81.55,81.57,0.99,Capital Markets,Financials,80.05,81.75,61.01,84.5
SYK,Stryker Corporation,Large-Cap,385.18,146980000000.0,22600000000.0,2990000000.0,7.76,49.64,28.5,1267645.0,390.03,388.37,0.96,Medical Devices,Healthcare,384.5,391.49,314.93,406.19
PFE,Pfizer Inc.,Large-Cap,25.53,144680000000.0,63630000000.0,8029999999.999999,1.41,18.11,8.64,32681900.0,25.73,25.64,0.57,Drug Manufacturers - General,Healthcare,25.47,25.83,24.48,31.54
LOW,"Lowe's Companies, Inc.",Large-Cap,251.79,142170000000.0,83720000000.0,6840000000.0,11.98,21.02,20.61,1762881.0,254.5,252.66,1.11,Home Improvement Retail,Consumer Discretionary,251.26,256.42,211.8,287.01
NEE,"NextEra Energy, Inc.",Large-Cap,68.06,140000000000.0,24750000000.0,6950000000.0,3.37,20.2,18.54,10294272.0,68.6,68.6,0.58,Utilities - Regulated Electric,Utilities,67.88,69.02,53.95,86.1
TJX,"The TJX Companies, Inc.",Large-Cap,124.34,139780000000.0,56420000000.0,4870000000.0,4.24,29.31,27.84,3426025.0,126.55,125.85,0.91,Apparel Retail,Consumer Discretionary,123.35,126.75,92.35,128.0
TTE,TotalEnergies SE,Large-Cap,61.41,139050000000.0,195610000000.0,15760000000.0,6.69,8.82,7.83,1030006.0,61.94,61.06,0.73,Oil & Gas Integrated,Energy,61.29,62.35,53.29,74.97
BA,The Boeing Company,Large-Cap,184.42,138330000000.0,66519999999.99999,-11880000000.0,-18.36,,,4108256.0,186.75,185.44,1.52,Aerospace & Defense,Industrials,183.58,186.82,137.03,208.1
AMAT,"Applied Materials, Inc.",Large-Cap,169.2,137510000000.0,27640000000.0,6340000000.0,7.66,22.1,18.09,12251482.0,174.71,184.27,1.52,Semiconductor Equipment & Materials,Technology,168.63,176.0,158.96,255.89
UL,Unilever PLC,Large-Cap,54.89,136770000000.00002,62910000000.0,5950000000.0,2.37,23.0,16.89,2384526.0,55.69,55.96,0.26,Household & Personal Products,Consumer Staples,54.88,55.78,46.46,65.87
SNY,Sanofi,Large-Cap,54.5,136550000000.00002,45850000000.0,5760000000.0,4.6,23.72,12.81,1288339.0,54.77,53.99,0.45,Drug Manufacturers - General,Healthcare,54.05,54.77,45.22,58.97
ANET,Arista Networks Inc,Large-Cap,106.87,134630000000.0,6610000000.0,2660000000.0,2.08,51.33,45.11,10550772.0,109.05,109.75,1.09,Computer Hardware,Technology,106.32,109.05,60.08,133.58
CMCSA,Comcast Corporation,Large-Cap,35.39,133810000000.0,123730000000.0,16190000000.000002,4.14,8.55,8.28,17706676.0,35.43,35.38,1.0,Telecom Services,Communication Services,35.29,35.62,32.5,45.31
PANW,"Palo Alto Networks, Inc.",Large-Cap,200.03,132440000000.0,8570000000.0,1250000000.0,1.77,112.9,58.91,13794164.0,192.0,201.88,1.14,Software - Infrastructure,Technology,188.76,201.33,130.05,207.24
HON,Honeywell International Inc.,Large-Cap,202.75,131840000000.0,38500000000.0,5710000000.0,8.71,23.28,19.59,5334169.0,204.85,205.27,1.05,Conglomerates,Industrials,201.54,205.14,189.75,242.77
BHP,BHP Group Limited,Large-Cap,51.55,131770000000.00002,56030000000.0,7900000000.0,1.56,16.69,12.17,2832236.0,52.48,51.83,0.86,Other Industrial Metals & Mining,Materials,51.53,52.52,48.06,63.21
FI,"Fiserv, Inc.",Large-Cap,230.6,131190000000.0,20460000000.0,3130000000.0,5.38,42.87,22.53,2103730.0,230.95,229.87,0.95,Information Technology Services,Technology,230.0,232.65,145.98,233.26
DE,Deere & Company,Large-Cap,480.22,130789999999.99998,47860000000.0,6220000000.0,22.61,21.24,24.63,1919131.0,469.9,466.22,0.99,Farm & Heavy Construction Machinery,Industrials,467.1,481.14,340.2,485.84
SPOT,Spotify Technology S.A.,Large-Cap,638.18,130090000000.0,16230000000.0,1180000000.0,5.69,112.08,59.54,2119844.0,643.76,648.32,1.63,Internet Content & Information,Communication Services,626.1,648.0,239.66,652.63
GILD,"Gilead Sciences, Inc.",Large-Cap,104.08,129710000000.00002,28750000000.0,480000000.0,0.38,273.89,13.14,6302156.0,105.8,105.96,0.2,Drug Manufacturers - General,Healthcare,103.92,106.69,62.07,106.69
SBUX,Starbucks Corporation,Large-Cap,112.55,127850000000.0,36150000000.0,3520000000.0,3.1,36.31,36.23,8722908.0,112.82,113.0,0.99,Restaurants,Consumer Discretionary,112.03,113.47,71.55,113.47
DSGX,The Descartes Systems Group Inc.,Mid-Cap,116.54,9970000000.0,631760000.0,137740000.0,1.58,72.41,50.46,170798.0,,,0.75,Software - Application,Technology,115.95,117.35,84.12,124.31
VFC,V.F. Corporation,Mid-Cap,25.59,9970000000.0,10150000000.0,-457240000.0,-1.18,,25.57,4161322.0,,,1.48,Apparel Manufacturing,Consumer Discretionary,25.06,25.72,11.0,29.02
LCID,"Lucid Group, Inc.",Mid-Cap,3.31,9970000000.0,730510000.0,-3080000000.0,-1.34,,,78927443.0,,,0.94,Auto Manufacturers,Consumer Discretionary,3.27,3.42,1.93,4.43
DOX,Amdocs Limited,Mid-Cap,88.3,9960000000.0,4870000000.0,496370000.0,4.31,20.49,12.22,649610.0,,,0.73,Software - Infrastructure,Technology,87.27,88.31,74.41,94.04
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Mid-Cap,196.18,9930000000.0,1290000000.0,447390000.0,0.89,22.2,17.81,121563.0,,,0.99,Airports & Air Services,Industrials,195.26,200.7,139.64,204.37
MRNO,Murano Global Investments Plc,Mid-Cap,11.01,9910000000.0,27950000.0,-103950000.0,-0.12,,,2525.0,,,0.3,Real Estate - Development,Real Estate,10.7,11.2,3.6,38.0
LTM,LATAM Airlines Group S.A.,Mid-Cap,32.64,9860000000.0,12830000000.0,976970000.0,0.0,10.09,8.41,221024.0,,,,Airlines,Industrials,32.46,32.88,21.83,32.88
WMS,"Advanced Drainage Systems, Inc.",Mid-Cap,126.93,9850000000.0,2940000000.0,467840000.0,5.98,21.24,20.41,493955.0,,,1.52,Building Products & Equipment,Industrials,125.08,127.73,110.75,184.27
BG,Bunge Global SA,Mid-Cap,70.5,9840000000.0,53110000000.0,1140000000.0,7.99,8.82,8.98,1272785.0,,,0.68,Farm Products,Consumer Staples,69.71,70.96,67.4,114.92
BRBR,"BellRing Brands, Inc.",Mid-Cap,76.68,9840000000.0,2100000000.0,279500000.0,2.12,36.16,33.38,948035.0,,,0.92,Packaged Foods,Consumer Staples,76.48,78.14,48.06,80.67
CR,Crane Company,Mid-Cap,171.49,9810000000.0,2130000000.0,294700000.0,5.05,37.28,31.02,220963.0,,,1.42,Specialty Industrial Machinery,Industrials,168.49,172.27,118.48,188.52
EXEL,"Exelixis, Inc.",Mid-Cap,35.0,9800000000.0,2170000000.0,521270000.0,1.76,19.89,17.3,2757058.0,,,0.53,Biotechnology,Healthcare,34.18,35.29,20.14,37.59
BWXT,"BWX Technologies, Inc.",Mid-Cap,106.83,9770000000.0,2680000000.0,276810000.0,3.02,35.38,32.42,981212.0,,,0.73,Aerospace & Defense,Industrials,105.1,109.26,86.7,136.31
HQY,"HealthEquity, Inc.",Mid-Cap,112.69,9770000000.0,1150000000.0,96700000.0,1.09,103.57,32.35,455842.0,,,0.55,Health Information Services,Healthcare,112.39,114.45,65.01,115.59
MUSA,Murphy USA Inc.,Mid-Cap,486.89,9750000000.0,17910000000.0,502500000.0,24.11,20.19,18.17,218877.0,,,0.79,Specialty Retail,Consumer Discretionary,485.06,497.99,382.04,561.08
KD,"Kyndryl Holdings, Inc.",Mid-Cap,41.79,9720000000.0,15110000000.0,138000000.0,0.59,70.75,21.01,1139899.0,,,1.95,Information Technology Services,Technology,41.25,41.85,19.24,43.61
MASI,Masimo Corporation,Mid-Cap,181.31,9710000000.0,2040000000.0,78600000.0,1.45,125.19,39.15,403562.0,,,1.02,Medical Devices,Healthcare,179.57,181.54,101.61,183.14
CX,"CEMEX, S.A.B. de C.V.",Mid-Cap,6.71,9690000000.0,16200000000.0,938810000.0,0.06,10.32,9.46,5143293.0,,,1.18,Building Materials,Materials,6.59,6.77,5.0,9.27
GLOB,Globant S.A.,Mid-Cap,224.46,9680000000.0,2350000000.0,169460000.0,3.84,58.46,31.69,473248.0,,,1.39,Information Technology Services,Technology,220.71,228.4,151.68,238.32
WAL,Western Alliance Bancorporation,Mid-Cap,88.75,9680000000.0,3020000000.0,774900000.0,7.09,12.52,10.11,651829.0,,,1.46,Banks - Regional,Financials,87.08,89.07,53.75,98.1
SKX,"Skechers U.S.A., Inc.",Mid-Cap,64.1,9680000000.0,8970000000.0,639470000.0,4.16,15.41,14.15,2256005.0,,,1.19,Footwear & Accessories,Consumer Discretionary,62.96,64.63,55.67,78.85
WTRG,"Essential Utilities, Inc.",Mid-Cap,35.2,9670000000.0,1960000000.0,546010000.0,1.99,17.69,16.56,910370.0,,,0.86,Utilities - Regulated Water,Utilities,35.14,36.15,33.18,41.78
KNTK,Kinetik Holdings Inc.,Mid-Cap,61.32,9660000000.0,1450000000.0,303870000.0,2.62,23.39,33.7,548529.0,,,0.9,Oil & Gas Midstream,Energy,61.22,62.12,32.96,67.6
RGLD,"Royal Gold, Inc.",Mid-Cap,146.83,9660000000.0,712770000.0,332020000.0,5.04,29.13,24.21,813327.0,,,0.91,Gold,Materials,146.65,155.64,100.55,155.64
ATR,"AptarGroup, Inc.",Mid-Cap,144.79,9630000000.0,3580000000.0,374540000.0,5.53,26.18,26.07,512842.0,,,0.59,Medical Instruments & Supplies,Healthcare,142.72,145.31,135.04,178.03
G,Genpact Limited,Mid-Cap,55.05,9620000000.0,4770000000.0,513669999.99999994,2.85,19.32,15.51,1599286.0,,,1.2,Information Technology Services,Technology,54.74,55.55,30.23,56.76
